
"UCL_CODE_2016"	"UCL_NAME_2016"	"Latitude"	"Longitude"
"UCL122011"	"Balmoral (L)"	-34.309852	150.521839
"UCL122012"	"Barellan (L)"	-34.287265	146.572631
"UCL122013"	"Barmedman (L)"	-34.14712	147.386003
"UCL122014"	"Beelbangera (L)"	-34.259924	146.098788
"UCL122015"	"Bemboka (L)"	-36.625843	149.570822
"UCL122016"	"Berrima (L)"	-34.488427	150.337358
"UCL122017"	"Bilbul (L)"	-34.270749	146.139314
"UCL122018"	"Binalong (L)"	-34.676778	148.634388
"UCL122019"	"Binnaway (L)"	-31.550388	149.383017
"UCL122020"	"Bodalla (L)"	-36.092305	150.052164
"UCL122021"	"Bonalbo (L)"	-28.735515	152.62221
"UCL122022"	"Bonny Hills - West (L)"	-31.572049	152.818279
"UCL122023"	"Bonville - East (L)"	-30.381899	153.053872
"UCL122024"	"Bonville (L)"	-30.370154	153.02334
"UCL122025"	"Boomerang Beach - Blueys Beach (L)"	-32.349386	152.532867
"UCL122026"	"Bowning (L)"	-34.767135	148.812229
"UCL122027"	"Broadwater (L)"	-29.014403	153.433994
"UCL122028"	"Broke (L)"	-32.747139	151.103899
"UCL122029"	"Brooms Head (L)"	-29.607301	153.336061
"UCL122030"	"Bundarra (L)"	-30.170381	151.07613
"UCL122031"	"Burrawang (L)"	-34.59399	150.518866
"UCL122032"	"Candelo (L)"	-36.766314	149.69527
"UCL122033"	"Caniaba (L)"	-28.824594	153.211968
"UCL122034"	"Captains Flat (L)"	-35.587624	149.449385
"UCL122035"	"Carcoar (L)"	-33.612019	149.142342
"UCL122036"	"Cargo (L)"	-33.424212	148.810666
"UCL122037"	"Clarenza (L)"	-29.72217	152.966869
"UCL122038"	"Cobargo (L)"	-36.390589	149.889265
"UCL122039"	"Collarenebri (L)"	-29.531601	148.58045
"UCL122040"	"Conjola Park (L)"	-35.259351	150.438799
"UCL122041"	"Coopernook (L)"	-31.823389	152.614463
"UCL122042"	"Coramba (L)"	-30.222941	153.017431
"UCL122043"	"Couridjah (L)"	-34.235581	150.555137
"UCL122044"	"Cudal (L)"	-33.287354	148.739621
"UCL122045"	"Cullen Bullen (L)"	-33.300899	150.032208
"UCL122046"	"Cumnock (L)"	-32.927492	148.751931
"UCL122047"	"Currarong (L)"	-35.015018	150.820882
"UCL122048"	"Dangar Island (L)"	-33.539538	151.23942
"UCL122049"	"Deepwater (L)"	-29.441763	151.846251
"UCL122050"	"Delegate (L)"	-37.044451	148.944379
"UCL122051"	"Delungra (L)"	-29.652185	150.829789
"UCL122052"	"Dunoon (L)"	-28.685886	153.314103
"UCL122053"	"Elizabeth Beach (L)"	-32.314799	152.519285
"UCL122054"	"Emmaville (L)"	-29.446438	151.590743
"UCL122055"	"Exeter (L) (NSW)"	-34.61197	150.31329
"UCL122056"	"Fairy Hill (L)"	-28.790977	153.002185
"UCL122057"	"Falls Creek (L) (NSW)"	-34.993104	150.586238
"UCL122058"	"Fishermans Paradise (L)"	-35.229188	150.444985
"UCL122059"	"Geurie (L)"	-32.397456	148.828121
"UCL122060"	"Gilgai (L)"	-29.855832	151.124062
"UCL122061"	"Glenreagh (L)"	-30.052495	152.981779
"UCL122062"	"Goodooga (L)"	-29.114375	147.450795
"UCL122063"	"Goolgowi (L)"	-33.977959	145.706071
"UCL122064"	"Gresford (L)"	-32.4288	151.545719
"UCL122065"	"Gulargambone (L)"	-31.342136	148.467734
"UCL122066"	"Gundaroo (L)"	-35.025297	149.266873
"UCL122067"	"Hallidays Point - West (L)"	-32.071943	152.504559
"UCL122068"	"Hat Head (L)"	-31.055217	153.049924
"UCL122069"	"Hinton (L)"	-32.721409	151.652485
"UCL122070"	"Hyland Park (L)"	-30.612191	153.001161
"UCL122071"	"Ivanhoe (L)"	-32.898487	144.308591
"UCL122072"	"Kangaroo Valley (L)"	-34.734817	150.529204
"UCL122073"	"Kenthurst (L)"	-33.663354	151.003884
"UCL122074"	"Khancoban (L)"	-36.213895	148.133117
"UCL122075"	"Kioloa (L)"	-35.559055	150.377361
"UCL122076"	"Kitchener (L)"	-32.877231	151.368164
"UCL122077"	"Koorawatha (L)"	-34.036825	148.557107
"UCL122078"	"Kurmond (L)"	-33.549859	150.690938
"UCL122079"	"Ladysmith (L)"	-35.208697	147.515032
"UCL122080"	"Lake Conjola (L)"	-35.269185	150.486363
"UCL122081"	"Lakewood Estate (L)"	-36.457045	148.634306
"UCL122082"	"Lansdowne (L)"	-31.782258	152.533607
"UCL122083"	"Lennox Head - West (L)"	-28.782021	153.575616
"UCL122084"	"Linden (L)"	-33.71242	150.496587
"UCL122085"	"Lochinvar (L)"	-32.700701	151.452523
"UCL122086"	"Lord Howe Island (L)"	-31.553734	159.085673
"UCL122087"	"Luddenham (L)"	-33.879533	150.691897
